OBJECTID,DISTRICT,SCHOOLAREA,SHAPE_Length,SHAPE_Area,DISTRICTNAME
1,49-1,54.31030825,287201.105086358,1514440162.5473,BALTIC
2,61-1,54.90084104,359446.837627021,1530541484.59659,ALCESTER-HUDSON
3,61-1,0.25121039,10585.7014315191,7003315.74380485,ALCESTER-HUDSON
4,61-2,0.50095967,15869.5515971422,13965898.2344402,BERESFORD
5,61-2,0.26311359,10979.807011009,7335156.63596202,BERESFORD
6,61-2,0.25074534,10575.9219926403,6990350.80003562,BERESFORD
7,61-2,0.25066646,10573.3284766862,6988151.86409726,BERESFORD
8,61-2,0.21678268,14615.6002116844,6043530.03478476,BERESFORD
9,61-2,0.12555286,7937.05439909941,3500198.76979437,BERESFORD
10,61-2,0.07025163,6790.53044635441,1958495.11935406,BERESFORD
11,61-2,0.00296965,1265.38666409745,82788.6841146241,BERESFORD
12,41-1,0.9900621,26296.165300438,27601236.7941952,CANTON
13,41-1,0.86614211,26396.7250886021,24146559.5670138,CANTON
14,41-1,0.62467146,18454.1133367007,17414771.1838995,CANTON
15,41-1,0.49834941,15791.6308071754,13893128.6679714,CANTON
16,41-1,0.3468698,14205.1896748032,9670136.23922865,CANTON
17,41-1,0.25195787,10601.3260696331,7024154.17182038,CANTON
18,41-1,0.25067603,10570.8801799778,6988418.63632999,CANTON
19,41-1,0.2503853,10568.1316159613,6980313.59702676,CANTON
20,41-1,0.24987811,10557.4110322296,6966174.12992463,CANTON
21,41-1,0.24956943,10551.0109866966,6957568.68829173,CANTON
22,41-1,0.24930229,11021.7542647468,6950121.22616813,CANTON
23,41-1,0.24079793,10366.8561490079,6713034.26104154,CANTON
24,41-1,0.20202193,11809.69123806,5632025.75818146,CANTON
25,41-1,0.1464772,8378.05665188977,4083533.76218288,CANTON
26,41-1,0.12513053,7923.17262873155,3488424.95015479,CANTON
27,41-1,0.1250905,7923.43490641388,3487309.007486,CANTON
28,41-1,0.12469004,7908.48626590489,3476144.98837869,CANTON
29,41-1,0.12330138,7872.50775293449,3437431.49197523,CANTON
30,41-1,0.01354934,3013.16262977032,377732.493950477,CANTON
31,41-1,0.00759686,1845.25936755466,211787.562686707,CANTON
